 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3700_350.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3700 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 350  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 708  K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  76 1.11E+01 2.40E+02 3.57E+15 2.11E+02 2.66E+01    7   0 1.92E-04 2.25E+00 1.12E+00
  77 1.18E+01 2.36E+02 3.60E+15 2.12E+02 2.69E+01    7   0 2.02E-04 2.22E+00 1.10E+00
  78 1.26E+01 2.32E+02 3.63E+15 2.14E+02 2.71E+01    7   0 2.12E-04 2.19E+00 1.08E+00
  79 1.34E+01 2.27E+02 3.67E+15 2.16E+02 2.74E+01    7   0 2.23E-04 2.17E+00 1.06E+00
  80 1.42E+01 2.23E+02 3.70E+15 2.18E+02 2.76E+01    7   0 2.35E-04 2.14E+00 1.04E+00
  81 1.52E+01 2.19E+02 3.74E+15 2.20E+02 2.79E+01    7   0 2.47E-04 2.11E+00 1.02E+00
  82 1.62E+01 2.15E+02 3.77E+15 2.23E+02 2.82E+01    7   0 2.60E-04 2.09E+00 1.01E+00
  83 1.72E+01 2.10E+02 3.81E+15 2.25E+02 2.85E+01    7   0 2.74E-04 2.06E+00 9.88E-01
  84 1.83E+01 2.06E+02 3.85E+15 2.27E+02 2.87E+01    7   0 2.88E-04 2.04E+00 9.71E-01
  85 1.95E+01 2.02E+02 3.89E+15 2.30E+02 2.91E+01    7   0 3.04E-04 2.01E+00 9.55E-01
  86 2.08E+01 1.96E+02 3.95E+15 2.33E+02 2.95E+01    7   0 3.19E-04 2.00E+00 9.32E-01
  87 2.21E+01 1.93E+02 3.98E+15 2.35E+02 2.97E+01    7   0 3.34E-04 1.99E+00 9.12E-01
  88 2.35E+01 1.88E+02 4.03E+15 2.38E+02 3.01E+01    6   1 3.53E-04 1.97E+00 8.98E-01
  89 2.51E+01 1.84E+02 4.08E+15 2.40E+02 3.04E+01    6   1 3.72E-04 1.94E+00 8.85E-01
  90 2.67E+01 1.80E+02 4.12E+15 2.43E+02 3.08E+01    6   1 3.93E-04 1.92E+00 8.72E-01
  91 2.84E+01 1.75E+02 4.18E+15 2.46E+02 3.12E+01    6   1 4.16E-04 1.89E+00 8.59E-01
  92 3.03E+01 1.71E+02 4.23E+15 2.49E+02 3.15E+01    6   1 4.39E-04 1.87E+00 8.47E-01
  93 3.22E+01 1.67E+02 4.28E+15 2.53E+02 3.20E+01    6   1 4.65E-04 1.84E+00 8.35E-01
  94 3.43E+01 1.62E+02 4.34E+15 2.56E+02 3.24E+01    6   1 4.92E-04 1.82E+00 8.23E-01
  95 3.65E+01 1.58E+02 4.40E+15 2.59E+02 3.28E+01    6   1 5.21E-04 1.79E+00 8.12E-01
  96 3.89E+01 1.54E+02 4.46E+15 2.63E+02 3.33E+01    6   1 5.52E-04 1.77E+00 8.01E-01
  97 4.14E+01 1.49E+02 4.52E+15 2.67E+02 3.37E+01    6   1 5.85E-04 1.74E+00 7.91E-01
  98 4.41E+01 1.45E+02 4.59E+15 2.71E+02 3.42E+01    6   1 6.20E-04 1.72E+00 7.81E-01
  99 4.70E+01 1.41E+02 4.66E+15 2.75E+02 3.48E+01    6   1 6.58E-04 1.69E+00 7.71E-01
 100 5.00E+01 1.37E+02 4.73E+15 2.79E+02 3.53E+01    6   1 6.98E-04 1.67E+00 7.61E-01
 ======================================================================================
   (1) Optical depth at 1.0E+01 microns
   (2) Bolometric flux at the inner radius 
   (3) Inner radius for L=1E4 Lsun
   (4) Ratio of the inner to the stellar radius
   (5) Angular size (in arcsec) when Fbol=1E-6 W/m2
   (6) Dust temperature at the outer edge (in K)
   (7) Maximum error in flux conservation (%)
   (8) Mass-loss rate (in Msun/yr)
   (9) Terminal outflow velocity (in km/s)
   (10) Upper limit of the stellar mass (in Msun)
 =================================================
  Everything is OK for all models
  Spectra are in files *.s##
 ========== THE END ==============================
