grid_name,teff,tinner,number,odep,c,d,e,f,g,h,mdot,vexp,i
corundum-20-bb,2600,1200,27,0.511,126000.0,156000000000000.0,4.55,1.16,24.0,0.0,4.9e-06,18.1,1.9
corundum-20-bb,2600,1200,28,0.545,124000.0,157000000000000.0,4.58,1.17,24.0,0.0,5.12e-06,17.8,1.89
corundum-20-bb,2600,1200,29,0.58,122000.0,158000000000000.0,4.61,1.18,24.0,0.0,5.35e-06,17.5,1.89
corundum-20-bb,2600,1200,30,0.617,120000.0,160000000000000.0,4.65,1.19,24.0,0.0,5.59e-06,17.2,1.88
corundum-20-bb,2600,1200,31,0.657,118000.0,161000000000000.0,4.69,1.2,24.0,0.0,5.84e-06,16.9,1.87
corundum-20-bb,2600,1200,32,0.7,116000.0,162000000000000.0,4.72,1.21,23.0,0.0,6.09e-06,16.5,1.85
corundum-20-bb,2600,1200,33,0.745,115000.0,163000000000000.0,4.76,1.22,23.0,0.0,6.36e-06,16.2,1.84
corundum-20-bb,2600,1200,34,0.794,113000.0,165000000000000.0,4.79,1.23,23.0,0.0,6.63e-06,15.8,1.82
corundum-20-bb,2600,1200,35,0.845,111000.0,166000000000000.0,4.83,1.24,23.0,0.0,6.95e-06,15.6,1.82
corundum-20-bb,2600,1200,36,0.9,109000.0,167000000000000.0,4.87,1.25,23.0,0.0,7.29e-06,15.4,1.81
corundum-20-bb,2600,1200,37,0.958,108000.0,168000000000000.0,4.91,1.26,23.0,0.0,7.64e-06,15.2,1.8
corundum-20-bb,2600,1200,38,1.02,106000.0,170000000000000.0,4.95,1.27,23.0,0.0,8.01e-06,15.0,1.78
corundum-20-bb,2600,1200,39,1.09,104000.0,171000000000000.0,4.98,1.28,22.0,0.0,8.4e-06,14.8,1.77
corundum-20-bb,2600,1200,40,1.16,103000.0,173000000000000.0,5.02,1.29,22.0,0.0,8.8e-06,14.6,1.75
corundum-20-bb,2600,1200,41,1.23,101000.0,174000000000000.0,5.06,1.3,22.0,0.0,9.23e-06,14.4,1.74
corundum-20-bb,2600,1200,42,1.31,100000.0,175000000000000.0,5.09,1.3,22.0,0.0,9.56e-06,14.2,1.73
corundum-20-bb,2600,1200,43,1.4,98500.0,176000000000000.0,5.13,1.31,22.0,0.0,1e-05,14.0,1.71
corundum-20-bb,2600,1200,44,1.49,97000.0,178000000000000.0,5.17,1.33,22.0,0.0,1.05e-05,13.8,1.69
corundum-20-bb,2600,1200,45,1.58,95000.0,179000000000000.0,5.22,1.34,22.0,0.0,1.11e-05,13.6,1.66
corundum-20-bb,2600,1200,46,1.69,93500.0,181000000000000.0,5.27,1.35,22.0,0.0,1.16e-05,13.4,1.64
corundum-20-bb,2600,1200,47,1.8,92000.0,182000000000000.0,5.31,1.36,21.0,0.0,1.22e-05,13.2,1.62
corundum-20-bb,2600,1200,48,1.91,90500.0,184000000000000.0,5.35,1.37,21.0,0.0,1.28e-05,13.0,1.6
corundum-20-bb,2600,1200,49,2.04,89000.0,185000000000000.0,5.4,1.38,21.0,0.0,1.34e-05,12.8,1.58
corundum-20-bb,2600,1200,50,2.17,87600.0,187000000000000.0,5.44,1.39,21.0,0.0,1.41e-05,12.6,1.56
corundum-20-bb,2600,1200,51,2.31,86100.0,188000000000000.0,5.49,1.41,21.0,0.0,1.48e-05,12.4,1.54
corundum-20-bb,2600,1200,52,2.46,84700.0,190000000000000.0,5.53,1.42,21.0,0.0,1.55e-05,12.2,1.52
corundum-20-bb,2600,1200,53,2.62,83800.0,191000000000000.0,5.56,1.43,21.0,0.0,1.6e-05,12.1,1.5
corundum-20-bb,2600,1200,54,2.79,82300.0,193000000000000.0,5.61,1.44,21.0,0.0,1.68e-05,11.9,1.48
corundum-20-bb,2600,1200,55,2.97,80900.0,194000000000000.0,5.66,1.45,21.0,0.0,1.77e-05,11.8,1.46
corundum-20-bb,2600,1200,56,3.16,79500.0,196000000000000.0,5.71,1.46,20.0,0.0,1.85e-05,11.6,1.44
corundum-20-bb,2600,1200,57,3.36,78100.0,198000000000000.0,5.76,1.48,20.0,0.0,1.95e-05,11.4,1.41
corundum-20-bb,2600,1200,58,3.58,76700.0,200000000000000.0,5.82,1.49,20.0,0.0,2.04e-05,11.3,1.39
corundum-20-bb,2600,1200,59,3.81,75000.0,202000000000000.0,5.88,1.51,20.0,0.0,2.16e-05,11.2,1.36
corundum-20-bb,2600,1200,60,4.06,73600.0,204000000000000.0,5.93,1.52,20.0,0.0,2.27e-05,11.1,1.34
corundum-20-bb,2600,1200,61,4.32,72400.0,206000000000000.0,5.99,1.53,20.0,0.0,2.37e-05,11.2,1.31
corundum-20-bb,2600,1200,62,4.6,71000.0,208000000000000.0,6.04,1.55,20.0,0.0,2.49e-05,11.0,1.29
corundum-20-bb,2600,1200,63,4.9,69700.0,210000000000000.0,6.1,1.56,20.0,0.0,2.62e-05,10.9,1.27
corundum-20-bb,2600,1200,64,5.22,68300.0,212000000000000.0,6.16,1.58,20.0,0.0,2.75e-05,10.8,1.25
corundum-20-bb,2600,1200,65,5.56,67000.0,214000000000000.0,6.22,1.59,19.0,0.0,2.89e-05,10.6,1.23
corundum-20-bb,2600,1200,66,5.92,65600.0,216000000000000.0,6.29,1.61,19.0,0.0,3.04e-05,10.5,1.21
