wavelength,flux,error,strip,errrms,errsys,errcal
9.902814,0.175443,0.00929,1,0.007937,0.001353,0.001769
9.945378,0.172581,0.00808,1,0.00808,0.0,0.00218
9.964908,0.171053,0.007835,1,0.007835,0.0,0.00171
10.007471,0.174682,0.009453,1,0.008101,0.001353,0.002301
10.027,0.175144,0.009261,1,0.007908,0.001353,0.001756
10.069565,0.175475,0.008058,1,0.008058,0.0,0.002332
10.089093,0.177857,0.007883,1,0.007883,0.0,0.001764
10.131658,0.176641,0.007967,1,0.007967,0.0,0.002391
10.151187,0.175406,0.007836,1,0.007836,0.0,0.001673
10.21328,0.175123,0.007935,1,0.007935,0.0,0.001621
10.255845,0.172072,0.01177,1,0.008048,0.003722,0.002006
10.275373,0.173788,0.011668,1,0.007945,0.003722,0.001544
10.317938,0.17579,0.011887,1,0.008221,0.003666,0.001998
10.337467,0.175139,0.01187,1,0.008204,0.003666,0.00159
10.380032,0.183959,0.011612,1,0.008446,0.003166,0.002124
10.399561,0.182301,0.011555,1,0.008389,0.003166,0.001734
10.442125,0.180721,0.010758,1,0.008484,0.002274,0.002113
10.461654,0.178606,0.010714,1,0.00844,0.002274,0.001655
10.504219,0.175132,0.00845,1,0.00845,0.0,0.002058
10.523747,0.179686,0.008501,1,0.008501,0.0,0.001679
10.566312,0.176455,0.009049,1,0.008551,4.98E-4,0.002128
10.585841,0.173258,0.008892,1,0.008394,4.98E-4,0.001724
10.628406,0.171198,0.008353,1,0.008353,0.0,0.002083
10.647935,0.171216,0.008378,1,0.008378,0.0,0.001692
10.690499,0.172837,0.008402,1,0.008402,0.0,0.002041
10.752593,0.173212,0.00856,1,0.008365,1.95E-4,0.002003
10.772122,0.169856,0.008671,1,0.008476,1.95E-4,0.001478
10.814688,0.1717,0.008493,1,0.008493,0.0,0.001969
10.834216,0.177744,0.008643,1,0.008643,0.0,0.001622
10.876781,0.1707,0.008992,1,0.008638,3.54E-4,0.001893
10.89631,0.17066,0.009006,1,0.008653,3.54E-4,0.00158
10.938875,0.173224,0.010919,1,0.008755,0.002165,0.001925
10.958404,0.174244,0.010978,1,0.008813,0.002165,0.001667
11.000969,0.175179,0.008873,1,0.008873,0.0,0.002124
11.020498,0.173495,0.008842,1,0.008842,0.0,0.001668
11.063063,0.168701,0.008782,1,0.008782,0.0,0.002144
11.082592,0.169103,0.008733,1,0.008733,0.0,0.001629
11.125157,0.164177,0.010922,1,0.008757,0.002165,0.002002
11.144686,0.167268,0.010945,1,0.00878,0.002165,0.001602
11.187251,0.16807,0.013104,1,0.008724,0.00438,0.002002
11.20678,0.171282,0.013244,1,0.008865,0.00438,0.001616
11.249346,0.167973,0.008781,1,0.008781,0.0,0.001992
11.268874,0.164186,0.008687,1,0.008687,0.0,0.001466
11.31144,0.169563,0.013326,1,0.008702,0.004624,0.001933
11.330969,0.169116,0.013411,1,0.008787,0.004624,0.001546
11.373534,0.165832,0.008752,1,0.008752,0.0,0.001901
11.393063,0.161398,0.008612,1,0.008612,0.0,0.001481
11.435628,0.165541,0.013409,1,0.008785,0.004624,0.00184
11.455157,0.163931,0.013441,1,0.008817,0.004624,0.001459
11.497723,0.160295,0.013257,1,0.008801,0.004456,0.001788
11.517252,0.15865,0.013266,1,0.00881,0.004456,0.001408
11.559817,0.150316,0.013231,1,0.008775,0.004456,0.00169
11.579346,0.15221,0.013221,1,0.008765,0.004456,0.001389
11.621912,0.154111,0.008951,1,0.008951,0.0,0.001769
11.64144,0.147058,0.008623,1,0.008623,0.0,0.001323
11.684006,0.143709,0.009902,1,0.008918,9.84E-4,0.001696
11.703535,0.144801,0.009696,1,0.008712,9.84E-4,0.001356
