 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3300_350.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3300 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 350  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 742  K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  80 1.42E+01 2.53E+02 3.48E+15 1.63E+02 2.59E+01    7   0 2.23E-04 2.24E+00 1.02E+00
  81 1.52E+01 2.48E+02 3.51E+15 1.65E+02 2.62E+01    7   0 2.35E-04 2.21E+00 9.99E-01
  82 1.62E+01 2.42E+02 3.55E+15 1.67E+02 2.65E+01    7   0 2.48E-04 2.18E+00 9.83E-01
  83 1.72E+01 2.37E+02 3.59E+15 1.69E+02 2.68E+01    7   0 2.61E-04 2.15E+00 9.67E-01
  84 1.83E+01 2.31E+02 3.64E+15 1.71E+02 2.71E+01    7   0 2.75E-04 2.13E+00 9.52E-01
  85 1.95E+01 2.26E+02 3.68E+15 1.73E+02 2.74E+01    7   0 2.90E-04 2.10E+00 9.37E-01
  86 2.08E+01 2.21E+02 3.72E+15 1.75E+02 2.78E+01    7   0 3.07E-04 2.07E+00 9.22E-01
  87 2.21E+01 2.16E+02 3.76E+15 1.76E+02 2.81E+01    7   0 3.21E-04 2.07E+00 9.04E-01
  88 2.35E+01 2.11E+02 3.81E+15 1.79E+02 2.84E+01    7   1 3.40E-04 2.04E+00 8.91E-01
  89 2.51E+01 2.06E+02 3.86E+15 1.81E+02 2.88E+01    7   1 3.59E-04 2.01E+00 8.78E-01
  90 2.67E+01 2.00E+02 3.91E+15 1.83E+02 2.92E+01    6   1 3.79E-04 1.98E+00 8.66E-01
  91 2.84E+01 1.95E+02 3.96E+15 1.86E+02 2.96E+01    6   1 4.01E-04 1.96E+00 8.53E-01
  92 3.03E+01 1.90E+02 4.02E+15 1.88E+02 3.00E+01    6   1 4.25E-04 1.93E+00 8.42E-01
  93 3.22E+01 1.84E+02 4.07E+15 1.91E+02 3.04E+01    6   1 4.50E-04 1.90E+00 8.30E-01
  94 3.43E+01 1.79E+02 4.13E+15 1.94E+02 3.08E+01    6   1 4.76E-04 1.88E+00 8.19E-01
  95 3.65E+01 1.74E+02 4.19E+15 1.97E+02 3.13E+01    6   1 5.05E-04 1.85E+00 8.09E-01
  96 3.89E+01 1.69E+02 4.26E+15 2.00E+02 3.18E+01    6   1 5.35E-04 1.82E+00 7.98E-01
  97 4.14E+01 1.64E+02 4.32E+15 2.03E+02 3.23E+01    6   1 5.68E-04 1.80E+00 7.88E-01
  98 4.41E+01 1.59E+02 4.39E+15 2.06E+02 3.28E+01    6   1 6.02E-04 1.77E+00 7.78E-01
  99 4.70E+01 1.53E+02 4.46E+15 2.09E+02 3.33E+01    6   1 6.39E-04 1.74E+00 7.69E-01
 100 5.00E+01 1.49E+02 4.54E+15 2.13E+02 3.39E+01    6   1 6.79E-04 1.72E+00 7.60E-01
 ======================================================================================
   (1) Optical depth at 1.0E+01 microns
   (2) Bolometric flux at the inner radius 
   (3) Inner radius for L=1E4 Lsun
   (4) Ratio of the inner to the stellar radius
   (5) Angular size (in arcsec) when Fbol=1E-6 W/m2
   (6) Dust temperature at the outer edge (in K)
   (7) Maximum error in flux conservation (%)
   (8) Mass-loss rate (in Msun/yr)
   (9) Terminal outflow velocity (in km/s)
   (10) Upper limit of the stellar mass (in Msun)
 =================================================
  Everything is OK for all models
  Spectra are in files *.s##
 ========== THE END ==============================
